"","long","lat","order","hole","piece","group","id"
"162",-95.7348901,29.76420919,10142,FALSE,"1","1054.1",1054
"163",-95.7348781,29.76375319,10143,FALSE,"1","1054.1",1054
"164",-95.7348841,29.76368619,10144,FALSE,"1","1054.1",1054
"165",-95.7348641,29.76351319,10145,FALSE,"1","1054.1",1054
"166",-95.7348301,29.76321519,10146,FALSE,"1","1054.1",1054
"167",-95.7348071,29.76306919,10147,FALSE,"1","1054.1",1054
"168",-95.7347101,29.76268318,10148,FALSE,"1","1054.1",1054
"169",-95.7346331,29.76243019,10149,FALSE,"1","1054.1",1054
"170",-95.7344821,29.76187418,10150,FALSE,"1","1054.1",1054
"171",-95.7344201,29.76156319,10151,FALSE,"1","1054.1",1054
"172",-95.7343721,29.76122819,10152,FALSE,"1","1054.1",1054
"173",-95.7343551,29.76102419,10153,FALSE,"1","1054.1",1054
"174",-95.7343351,29.75996719,10154,FALSE,"1","1054.1",1054
"175",-95.7343391,29.75952718,10155,FALSE,"1","1054.1",1054
"176",-95.68772309,29.96305523,10156,FALSE,"1","1055.1",1055
"177",-95.68756509,29.96294123,10157,FALSE,"1","1055.1",1055
"178",-95.68729709,29.96274923,10158,FALSE,"1","1055.1",1055
"179",-95.68594209,29.96181623,10159,FALSE,"1","1055.1",1055
"180",-95.68565709,29.96162123,10160,FALSE,"1","1055.1",1055
"181",-95.68450609,29.96083623,10161,FALSE,"1","1055.1",1055
"182",-95.68376009,29.96031523,10162,FALSE,"1","1055.1",1055
"183",-95.68315609,29.95988923,10163,FALSE,"1","1055.1",1055
"184",-95.68188409,29.95899323,10164,FALSE,"1","1055.1",1055
"185",-95.68076209,29.95821123,10165,FALSE,"1","1055.1",1055
"186",-95.67937509,29.95724423,10166,FALSE,"1","1055.1",1055
"187",-95.67827209,29.95652423,10167,FALSE,"1","1055.1",1055
"188",-95.67790009,29.95628123,10168,FALSE,"1","1055.1",1055
"189",-95.67676509,29.95554923,10169,FALSE,"1","1055.1",1055
"190",-95.67664109,29.95546823,10170,FALSE,"1","1055.1",1055
"191",-95.67439709,29.95398923,10171,FALSE,"1","1055.1",1055
"192",-95.67338209,29.95328223,10172,FALSE,"1","1055.1",1055
"193",-95.67347709,29.95308023,10173,FALSE,"1","1055.1",1055
"194",-95.67361109,29.95279623,10174,FALSE,"1","1055.1",1055
